"plan_name", "company","adult" ,"young_adult_age_25", "young_adult_age_24", "young_adult_age_23", "young_adult_age_22", "young_adult_age_21", "young_adult_age_20", "young_adult_age_19", "young_adult_age_18", "child_one", "child_two", "child_three", "child_four", "newborn","date"
"PMI 31 12","Vhi","1369.94","1228.68","1071.69","914.7","766.16","640.57","457.48","457.48","457.48","387.19","387.19","387.19","0","0","2017-05-01"
"Start Plan","Vhi","474.01","431.37","383.97","336.57","289.17","241.77","168.91","168.91","168.91","104.51","104.51","104.51","0","0","2017-05-01"
"Start Plan 250","Vhi","782.5","712.11","633.86","555.62","477.36","399.11","195.9","195.9","195.9","120.9","120.9","120.9","0","0","2017-05-01"
"Teachers Plan Select","Vhi","1417.31","1271.80","1110.06","948.34","789.29","659.89","466.52","466.52","466.52","338.23","338.23","338.23","0","0","2017-05-01"
"Teachers Plan","Vhi","1736.28","1562.06","1368.43","1174.81","981.17","790.04","598.7","598.7","598.7","406.84","406.84","406.84","0","0","2017-05-01"
"Plan P","Vhi","98.75","98.75","98.75","98.75","98.75","98.75","98.75","98.75","98.75","44.75","44.75","44.75","0","0","2017-05-01"
"Company Plan Executive","Vhi","3741.94","3387.20","2993.01","2598.82","2204.62","1810.43","1147.29","1147.29","1147.29","1117.17","1117.17","1117.17","0","0","2016-11-01"
"Company Plan Executive Excess","Vhi","3393.38","3070.01","2710.68","2351.34","1992","1632.66","1038.92","1038.92","1038.92","1011.5","1011.5","1011.5","0","0","2016-11-01"
"Company Plan Extra","Vhi","1677.89","1508.91","1321.13","1133.34","945.55","766.22","576.71","576.71","576.71","378.55","378.55","378.55","0","0","2016-11-01"
"Company Plan Extra Level 1","Vhi","1613.06","1449.91","1268.61","1087.3","906","739.75","535.03","535.03","535.03","429.37","429.37","429.37","0","0","2016-11-01"
"Company Plan Extra Level 2","Vhi","1838.14","1654.74","1450.93","1247.1","1043.3","839.49","615.86","615.86","615.86","447.35","447.35","447.35","0","0","2016-11-01"
"Company Plan Extra Level 2 Excess","Vhi","1679.16","1510.07","1322.15","1134.25","946.33","766.73","557.39","557.39","557.39","397.7","397.7","397.7","0","0","2016-11-01"
"Company Plan Extra Select","Vhi","1278.48","1145.45","997.6","849.76","721.52","603.25","442.81","442.81","442.81","262.85","262.85","262.85","0","0","2016-11-01"
"Company Plan Plus Level 1","Vhi","1445.69","1297.61","1133.05","968.47","803.91","671.46","507.59","507.59","507.59","355.93","355.93","355.93","0","0","2016-11-01"
"Company Plan Plus Select","Vhi","1269.33","1137.12","990.19","843.26","717.06","599.51","459.15","459.15","459.15","431.35","431.35","431.35","0","0","2016-11-01"
"Company Plan Starter","Vhi","814.75","738.75","657.57","576.39","495.21","414.03","323.41","323.41","323.41","291.02","291.02","291.02","0","0","2016-11-01"
"Corporate Plan","Vhi","1319.98","1183.22","1031.23","879.21","741.78","620.18","461.9","461.9","461.9","412.05","412.05","412.05","0","0","2016-11-01"
"Family Plan Level 1","Vhi","1144.67","1023.68","889.22","763.81","656.22","548.66","407.97","407.97","407.97","373.45","373.45","373.45","0","0","2016-11-01"
"Family Plan Plus Level 1","Vhi","1696.97","1526.27","1336.59","1146.88","957.19","773.99","564.76","564.76","564.76","532.13","532.13","532.13","0","0","2016-11-01"
"First Plan Level 1","Vhi","1090.18","974.11","845.09","732.85","629.64","526.43","385.1","385.1","385.1","354.81","354.81","354.81","0","0","2016-11-01"
"First Plan Plus Level 1","Vhi","1613.95","1450.73","1269.33","1087.94","906.55","740.12","543.49","543.49","543.49","515.23","515.23","515.23","0","0","2016-11-01"
"Forward Plan Level 1","Vhi","3211.72","2904.70","2563.53","2222.36","1881.2","1540.01","970.28","970.28","970.28","934.24","934.24","934.24","0","0","2016-11-01"
"Health Access","Vhi","1645.6","1479.54","1294.98","1110.41","925.85","753.03","567.36","567.36","567.36","551.8","551.8","551.8","0","0","2016-11-01"
"HealthPlus Access (Plan B)","Vhi","2045.58","1843.51","1618.96","1394.4","1169.84","945.29","699.94","699.94","699.94","430.54","430.54","430.54","0","0","2016-11-01"
"HealthPlus Choice (Plan C)","Vhi","2984.32","2697.76","2379.33","2060.9","1742.47","1424.03","781.91","781.91","781.91","745.79","745.79","745.79","0","0","2016-11-01"
"HealthPlus Excess (Plan B Excess)","Vhi","1799.58","1619.67","1419.71","1219.74","1019.79","819.83","616.01","616.01","616.01","605.16","605.16","605.16","0","0","2016-11-01"
"HealthPlus Extra (Plan B Options)","Vhi","2506.15","2262.63","1992.02","1721.4","1450.78","1180.17","845.87","845.87","845.87","485.09","485.09","485.09","0","0","2016-11-01"
"HealthPlus Platinum (Plan E)","Vhi","5257.93","4766.74","4220.96","3675.17","3129.37","2583.57","1038.5","1038.5","1038.5","1010.91","1010.91","1010.91","0","0","2016-11-01"
"HealthPlus Premium (Plan D)","Vhi","3649.36","3302.95","2918.01","2533.08","2148.14","1763.2","876.44","876.44","876.44","853.12","853.12","853.12","0","0","2016-11-01"
"Nurses Plan Select","Vhi","1370.2","1228.92","1071.89","914.88","766.29","640.66","450.02","450.02","450.02","328.38","328.38","328.38","0","0","2016-11-01"
"Nurses Plan","Vhi","1679.88","1510.73","1322.74","1134.76","946.76","767.02","578.35","578.35","578.35","393.66","393.66","393.66","0","0","2016-11-01"
"One + Plan","Vhi","1177.27","1053.36","915.62","782.32","672.14","561.96","408.41","408.41","408.41","290.62","290.62","290.62","0","0","2016-11-01"
"One Plan","Vhi","1147.64","1026.39","891.63","765.49","657.68","549.86","404.48","404.48","404.48","301.75","301.75","301.75","0","0","2016-11-01"
"One Plan 150","Vhi","990.57","883.46","771.52","676.27","581.02","485.78","352.24","352.24","352.24","253","253","253","0","0","2016-11-01"
"One Plan 250","Vhi","889.21","792.98","705.84","618.7","531.57","444.42","342.81","342.81","342.81","250.21","250.21","250.21","0","0","2016-11-01"
"One Plan 500","Vhi","744.49","677.50","603.06","528.62","454.17","379.72","342.12","342.12","342.12","249.7","249.7","249.7","0","0","2016-11-01"
"One Plan Access (Plan A)","Vhi","939.34","836.83","738.32","647.18","556.02","464.87","338.94","338.94","338.94","275.99","275.99","275.99","0","0","2016-11-01"
"One Plan Access Plus (Plan A Option)","Vhi","987.8","880.93","769.72","674.7","579.67","484.65","352.02","352.02","352.02","275.99","275.99","275.99","0","0","2016-11-01"
"One Plan Complete","Vhi","1681.39","1512.10","1323.96","1135.82","947.68","767.64","559.14","559.14","559.14","329.3","329.3","329.3","0","0","2016-11-01"
"One Plan Extra","Vhi","1530.84","1375.10","1202.01","1028.93","855.86","706.22","517.81","517.81","517.81","329.3","329.3","329.3","0","0","2016-11-01"
"One Plan Family","Vhi","1188.82","1063.85","924.98","788.88","677.76","566.66","421.08","421.08","421.08","152.32","152.32","152.32","0","0","2016-11-01"
"One Plan Sport","Vhi","1177.92","1053.94","916.15","782.69","672.45","562.22","588.95","588.95","588.95","588.95","588.95","588.95","0","0","2016-11-01"
"One Plan Starter","Vhi","561.17","510.69","454.58","398.46","342.34","286.22","265.77","265.77","265.77","214.21","214.21","214.21","0","0","2016-11-01"
"One Plan Starter Day 2 Day","Vhi","673.18","612.62","545.3","477.98","410.66","343.34","336.46","336.46","336.46","284.82","284.82","284.82","0","0","2016-11-01"
"Parents and Kids Excess Plan","Vhi","1506.88","1353.29","1182.61","1011.92","841.23","696.43","540.8","540.8","540.8","315.54","315.54","315.54","0","0","2016-11-01"
"Parents and Kids Options Plan","Vhi","1955.57","1761.60","1546.05","1330.49","1114.93","899.37","661.89","661.89","661.89","344.5","344.5","344.5","0","0","2016-11-01"
"Parents and Kids Plan","Vhi","1730.07","1556.40","1363.39","1170.39","977.38","787.5","595.84","595.84","595.84","333.69","333.69","333.69","0","0","2016-11-01"
"PMI 10 11","Vhi","1258.12","1127.00","981.18","835.37","711.65","595.01","423.09","423.09","423.09","349.35","349.35","349.35","0","0","2016-11-01"
"PMI 12 11","Vhi","1231.62","1102.97","960.26","817.58","698.97","584.81","360.26","360.26","360.26","247.43","247.43","247.43","0","0","2016-11-01"
"PMI 18 11","Vhi","1250.22","1119.72","974.68","829.66","707.71","591.7","455.24","455.24","455.24","347.96","347.96","347.96","0","0","2016-11-01"
"PMI 19 11","Vhi","1246.99","1116.79","972.09","827.38","706.15","590.38","524.87","524.87","524.87","356.84","356.84","356.84","0","0","2016-11-01"
"PMI 32 12","Vhi","1396.13","1252.50","1092.88","933.27","778.92","651.23","466.77","466.77","466.77","443.4","443.4","443.4","0","0","2016-11-01"
"Start Plan","Vhi","464.71","422.90","376.43","329.96","283.49","237.02","165.6","165.6","165.6","102.46","102.46","102.46","0","0","2016-11-01"
"Start Plan 250","Vhi","756.77","688.69","613.01","537.34","461.66","385.98","189.46","189.46","189.46","116.93","116.93","116.93","0","0","2016-11-01"
"Teachers Plan Select","Vhi","1370.2","1228.92","1071.89","914.88","766.29","640.66","450.02","450.02","450.02","328.38","328.38","328.38","0","0","2016-11-01"
"Teachers Plan","Vhi","1679.88","1510.73","1322.74","1134.76","946.76","767.02","578.35","578.35","578.35","393.66","393.66","393.66","0","0","2016-11-01"
"Plan P","Vhi","97","97.00","97","97","97","97","97","97","97","44","44","44","0","0","2016-11-01"
"Company Plan","Vhi","1122.03","1003.08","870.89","750.94","645.18","539.42","380.74","380.74","380.74","285.56","285.56","285.56","0","0","2017-11-01"
"Company Plan Executive","Vhi","3681.04","3331.79","2943.7","2555.59","2167.48","1779.39","1128.02","1128.02","1128.02","947.88","947.88","947.88","0","0","2017-11-01"
"Company Plan Executive Excess","Vhi","3355.29","3035.36","2679.84","2324.31","1968.78","1613.25","1026.85","1026.85","1026.85","859.93","859.93","859.93","0","0","2017-11-01"
"Company Plan Extra","Vhi","1715.45","1543.10","1351.56","1160.02","968.47","781.55","555.04","555.04","555.04","386.12","386.12","386.12","0","0","2017-11-01"
"Company Plan Extra Level 1","Vhi","1667.44","1499.42","1312.67","1125.94","939.19","761.94","554.08","554.08","554.08","404.21","404.21","404.21","0","0","2017-11-01"
"Company Plan Extra Select","Vhi","1296.96","1162.28","1012.58","862.89","730.54","610.8","379.83","379.83","379.83","272.05","272.05","272.05","0","0","2017-11-01"
"Company Plan Plus Level 1","Vhi","1395.66","1252.10","1092.54","932.96","778.73","651.06","474.44","474.44","474.44","344.66","344.66","344.66","0","0","2017-11-01"
"Company Plan Plus Level 1.3","Vhi","1162.43","1039.86","903.62","773.89","664.9","555.91","392.38","392.38","392.38","294.29","294.29","294.29","0","0","2017-11-01"
"Company Plan Plus Select","Vhi","1291.37","1157.19","1008.05","858.92","727.82","608.51","436.89","436.89","436.89","322.14","322.14","322.14","0","0","2017-11-01"
"Company Plan Starter","Vhi","747.36","680.12","605.38","530.65","455.91","381.18","284","284","284","216.74","216.74","216.74","0","0","2017-11-01"
"Corporate Plan","Vhi","1342.78","1203.98","1049.71","895.41","752.92","629.5","455.4","455.4","455.4","333.24","333.24","333.24","0","0","2017-11-01"
"Family Plan Level 1","Vhi","1092.32","976.05","846.83","734.08","630.68","527.3","390.56","390.56","390.56","310.15","310.15","310.15","0","0","2017-11-01"
"Family Plan Plus Level 1","Vhi","1646.42","1480.28","1295.66","1111","926.37","753.38","547.04","547.04","547.04","515.28","515.28","515.28","0","0","2017-11-01"
"First Plan Level 1","Vhi","1039.94","928.41","804.42","704.32","605.14","505.95","370.1","370.1","370.1","297.58","297.58","297.58","0","0","2017-11-01"
"First Plan Plus Level 1","Vhi","1603.66","1441.38","1261.01","1080.65","900.29","735.93","539.84","539.84","539.84","511.74","511.74","511.74","0","0","2017-11-01"
"Health Access","Vhi","1684.36","1514.82","1326.38","1137.94","949.5","768.86","540.68","540.68","540.68","376.87","376.87","376.87","0","0","2017-11-01"
"HealthPlus Access (Plan B)","Vhi","2074.4","1869.74","1642.32","1414.87","1187.44","960","642.04","642.04","642.04","437.35","437.35","437.35","0","0","2017-11-01"
"HealthPlus Choice (Plan C)","Vhi","3008.92","2720.16","2399.28","2078.39","1757.49","1436.59","788.72","788.72","788.72","752.32","752.32","752.32","0","0","2017-11-01"
"HealthPlus Excess (Plan B Excess)","Vhi","1825.24","1643.03","1440.51","1237.97","1035.45","832.93","588.58","588.58","588.58","406.31","406.31","406.31","0","0","2017-11-01"
"HealthPlus Extra (Plan B Options)","Vhi","2535.35","2289.22","2015.68","1742.15","1468.61","1195.07","737.59","737.59","737.59","491.41","491.41","491.41","0","0","2017-11-01"
"HealthPlus Platinum (Plan E)","Vhi","5062.82","4589.21","4062.94","3536.65","3010.36","2484.08","997.81","997.81","997.81","971.2","971.2","971.2","0","0","2017-11-01"
"HealthPlus Premium (Plan D)","Vhi","3514.84","3180.55","2809.07","2437.59","2066.1","1694.61","842.31","842.31","842.31","819.81","819.81","819.81","0","0","2017-11-01"
"Nurses Plan","Vhi","1736.28","1562.06","1368.43","1174.81","981.17","790.04","581.11","581.11","581.11","406.84","406.84","406.84","0","0","2017-11-01"
"Nurses Plan Select","Vhi","1417.31","1271.80","1110.06","948.34","789.29","659.89","466.52","466.52","466.52","338.23","338.23","338.23","0","0","2017-11-01"
"One + Plan","Vhi","1211.7","1084.70","943.52","802.36","688.94","576.02","399.52","399.52","399.52","297.88","297.88","297.88","0","0","2017-11-01"
"One Plan","Vhi","1174.59","1050.93","913.47","780.81","670.84","560.87","408.44","408.44","408.44","307.78","307.78","307.78","0","0","2017-11-01"
"One Plan 150","Vhi","1014.38","905.14","786.96","689.81","592.66","495.5","349.03","349.03","349.03","261.6","261.6","261.6","0","0","2017-11-01"
"One Plan 250","Vhi","916.44","816.01","723.5","634.18","544.86","455.54","338.1","338.1","338.1","257.71","257.71","257.71","0","0","2017-11-01"
"One Plan 500","Vhi","769.8","700.54","623.58","546.6","469.62","392.64","284.82","284.82","284.82","215.54","215.54","215.54","0","0","2017-11-01"
"One Plan Access (Plan A)","Vhi","871.69","780.22","694.49","608.76","523.01","437.28","318.81","318.81","318.81","249.02","249.02","249.02","0","0","2017-11-01"
"One Plan Access Plus (Plan A Option)","Vhi","916.47","816.03","723.5","634.19","544.87","455.56","330.88","330.88","330.88","259.42","259.42","259.42","0","0","2017-11-01"
"One Plan Complete","Vhi","1719.02","1546.35","1354.45","1162.55","970.64","783","492.57","492.57","492.57","335.89","335.89","335.89","0","0","2017-11-01"
"One Plan Extra","Vhi","1582.77","1422.36","1244.08","1065.81","887.55","727.41","475.83","475.83","475.83","332.31","332.31","332.31","0","0","2017-11-01"
"One Plan Family","Vhi","1223.54","1095.46","953.11","810.76","694.71","580.84","418.44","418.44","418.44","156.13","156.13","156.13","0","0","2017-11-01"
"One Plan Sport","Vhi","1205.48","1079.03","938.48","798.35","685.9","573.48","602.73","602.73","602.73","602.73","602.73","602.73","0","0","2017-11-01"
"One Plan Starter","Vhi","539.31","490.82","436.89","382.96","329.02","275.09","210.34","210.34","210.34","161.79","161.79","161.79","0","0","2017-11-01"
"One Plan Starter Day 2 Day","Vhi","646.96","588.78","524.08","459.38","394.69","329.99","265.26","265.26","265.26","207.02","207.02","207.02","0","0","2017-11-01"
"Parents and Kids Excess Plan","Vhi","1549.55","1392.13","1217.19","1042.23","867.27","713.85","461.74","461.74","461.74","323.42","323.42","323.42","0","0","2017-11-01"
"Parents and Kids Options Plan","Vhi","1893.89","1705.48","1496.1","1286.71","1077.32","867.92","522.92","522.92","522.92","347.58","347.58","347.58","0","0","2017-11-01"
"Parents and Kids Plan","Vhi","1778.32","1600.32","1402.48","1204.66","1006.82","808.99","505.59","505.59","505.59","342.03","342.03","342.03","0","0","2017-11-01"
"PMI 32 12","Vhi","1428.05","1281.55","1118.74","955.94","794.5","664.26","478.11","478.11","478.11","443.4","443.4","443.4","0","0","2017-11-01"
"PMI 35 13","Vhi","1303.36","1168.07","1017.74","867.4","733.65","613.38","447.89","447.89","447.89","330.07","330.07","330.07","0","0","2017-11-01"
"PMI 36 13","Vhi","1349.23","1209.82","1054.9","899.97","756.04","632.1","457.72","457.72","457.72","334.63","334.63","334.63","0","0","2017-11-01"
"PMI 37 13","Vhi","1193.78","1068.36","928.98","791.69","680.18","568.69","401.76","401.76","401.76","301.06","301.06","301.06","0","0","2017-11-01"
"PMI 40 15","Vhi","1049.74","937.28","812.3","709.86","609.89","509.9","365.6","365.6","365.6","319.6","319.6","319.6","0","0","2017-11-01"
"PMI 41 15","Vhi","1317.3","1180.76","1029.03","877.3","740.46","619.07","460.19","460.19","460.19","341.1","341.1","341.1","0","0","2017-11-01"
"PMI 42 15","Vhi","1711.42","1539.41","1348.26","1157.12","965.98","779.87","571.36","571.36","571.36","460.84","460.84","460.84","0","0","2017-11-01"
"PMI 44 16","Vhi","1102.48","985.28","855.02","739.82","635.62","531.43","459.35","459.35","459.35","291.75","291.75","291.75","0","0","2017-11-01"
"Smart Plan 150","Vhi","925","823.76","729.01","639.01","549.01","459.01","331","331","331","250","250","250","0","0","2017-11-01"
"Smart Plan 250","Vhi","820","742.57","660.97","579.37","497.77","416.17","318.44","318.44","318.44","245","245","245","0","0","2017-11-01"
"Smart Plan Family","Vhi","995","887.46","774.37","678.77","583.17","487.57","346.04","346.04","346.04","260","260","260","0","0","2017-11-01"
"Start Plan","Vhi","474.01","431.37","383.97","336.57","289.17","241.77","147.18","147.18","147.18","104.51","104.51","104.51","0","0","2017-11-01"
"Start Plan 250","Vhi","782.5","712.11","633.86","555.62","477.36","399.11","191.33","191.33","191.33","120.9","120.9","120.9","0","0","2017-11-01"
"Teachers Plan","Vhi","1736.28","1562.06","1368.43","1174.81","981.17","790.04","581.11","581.11","581.11","406.84","406.84","406.84","0","0","2017-11-01"
"Teachers Plan Select","Vhi","1417.31","1271.80","1110.06","948.34","789.29","659.89","466.52","466.52","466.52","338.23","338.23","338.23","0","0","2017-11-01"
"PMI 40 15","Vhi","1099.73","982.77","852.79","738.26","634.28","530.3","380.22","380.22","380.22","332.38","332.38","332.38","0","0","2018-01-01"
"PMI 39 14","Vhi","1330.46","1192.73","1039.69","886.64","746.87","624.43","465.71","465.71","465.71","433.6","433.6","433.6","0","0","2018-01-01"
"PMI 25 11","Vhi","1621.78","1457.85","1275.65","1093.48","911.3","743.3","533.68","533.68","533.68","504.07","504.07","504.07","0","0","2018-01-01"
"PMI 23 11","Vhi","1891.16","1702.97","1493.85","1284.74","1075.62","866.5","673.36","673.36","673.36","580.94","580.94","580.94","0","0","2018-01-01"
"PMI 22 11","Vhi","1628.67","1464.10","1281.23","1098.38","915.49","746.11","538.81","538.81","538.81","526.28","526.28","526.28","0","0","2018-01-01"
"PMI 21 11","Vhi","1379.68","1237.53","1079.57","921.59","770.9","644.53","456.1","456.1","456.1","445.2","445.2","445.2","0","0","2018-01-01"
"PMI 05 11","Vhi","1737.52","1563.16","1369.41","1175.66","981.9","790.52","590.24","590.24","590.24","455.01","455.01","455.01","0","0","2018-01-01"
"One Plan Starter Day 2 Day","Vhi","646.96","588.78","524.08","459.38","394.69","329.99","265.26","265.26","265.26","103.51","103.51","103.51","0","0","2018-01-01"
"One Plan Starter","Vhi","539.31","490.82","436.89","382.96","329.02","275.09","210.34","210.34","210.34","80.89","80.89","80.89","0","0","2018-01-01"
"One Plan Sport","Vhi","1205.48","1079.03","938.48","798.35","685.9","573.48","602.73","602.73","602.73","281.09","281.09","281.09","0","0","2018-01-01"
"One Plan Extra","Vhi","1582.77","1422.36","1244.08","1065.81","887.55","727.41","475.83","475.83","475.83","166.15","166.15","166.15","0","0","2018-01-01"
"One Plan Complete","Vhi","1719.02","1546.35","1354.45","1162.55","970.64","783","492.57","492.57","492.57","167.94","167.94","167.94","0","0","2018-01-01"
"One Plan Access Plus (Plan A Option)","Vhi","916.47","816.03","723.5","634.19","544.87","455.56","330.88","330.88","330.88","129.7","129.7","129.7","0","0","2018-01-01"
"One Plan Access (Plan A)","Vhi","871.69","780.22","694.49","608.76","523.01","437.28","318.81","318.81","318.81","124.5","124.5","124.5","0","0","2018-01-01"
"One Plan 500","Vhi","769.8","700.54","623.58","546.6","469.62","392.64","284.82","284.82","284.82","107.77","107.77","107.77","0","0","2018-01-01"
"One Plan 250","Vhi","916.44","816.01","723.5","634.18","544.86","455.54","338.1","338.1","338.1","128.85","128.85","128.85","0","0","2018-01-01"
"One Plan 150","Vhi","1014.38","905.14","786.96","689.81","592.66","495.5","349.03","349.03","349.03","130.8","130.8","130.8","0","0","2018-01-01"
"One Plan","Vhi","1174.59","1050.93","913.47","780.81","670.84","560.87","408.44","408.44","408.44","153.89","153.89","153.89","0","0","2018-01-01"
"One + Plan","Vhi","1211.7","1084.70","943.52","802.36","688.94","576.02","399.52","399.52","399.52","148.94","148.94","148.94","0","0","2018-01-01"
"Nurses Plan Select","Vhi","1417.31","1271.80","1110.06","948.34","789.29","659.89","466.52","466.52","466.52","169.11","169.11","169.11","0","0","2018-01-01"
"PMI 41 15","Vhi","1377.99","1235.99","1078.19","920.39","770.07","643.83","482.6","482.6","482.6","354.74","354.74","354.74","0","0","2018-01-01"
"PMI 42 15","Vhi","1768.76","1591.59","1394.71","1197.83","1000.96","804.09","591.5","591.5","591.5","477.67","477.67","477.67","0","0","2018-01-01"
"Teachers Plan Select","Vhi","1417.31","1271.80","1110.06","948.34","789.29","659.89","466.52","466.52","466.52","169.11","169.11","169.11","0","0","2018-01-01"
"Company Plan","Vhi","1026.99","916.59","795.12","696.95","598.8","500.64","353.37","353.37","353.37","265.03","265.03","265.03","0","0","2018-07-01"
"Company Plan Executive","Vhi","3369.92","3048.66","2691.69","2334.68","1977.69","1620.72","1029.58","1029.58","1029.58","863.88","863.88","863.88","0","0","2018-07-01"
"Company Plan Executive Excess","Vhi","3070.28","2776.00","2448.98","2121.95","1794.92","1467.9","936.52","936.52","936.52","782.97","782.97","782.97","0","0","2018-07-01"
"Company Plan Extra","Vhi","1587.15","1426.35","1247.63","1068.92","890.21","729.2","511.17","511.17","511.17","360.26","360.26","360.26","0","0","2018-07-01"
"Company Plan Extra Level 1","Vhi","1548.02","1390.74","1215.94","1041.15","866.34","713.22","512.25","512.25","512.25","377.57","377.57","377.57","0","0","2018-07-01"
"Company Plan Extra Level 2","Vhi","1710.3","1538.41","1347.39","1156.35","965.32","779.44","570.96","570.96","570.96","424.42","424.42","424.42","0","0","2018-07-01"
"Company Plan Extra Level 2 Excess","Vhi","1554.86","1396.97","1221.48","1046.01","870.51","716.02","513.91","513.91","513.91","379.66","379.66","379.66","0","0","2018-07-01"
"Company Plan Extra Select","Vhi","1184.28","1059.73","921.31","786.3","675.56","564.82","351.24","351.24","351.24","251.58","251.58","251.58","0","0","2018-07-01"
"Company Plan Plus Level 1","Vhi","1257.27","1126.16","980.43","834.7","711.19","594.6","424.62","424.62","424.62","314.78","314.78","314.78","0","0","2018-07-01"
"Company Plan Plus Select","Vhi","1184.15","1059.61","921.2","786.23","675.49","564.76","398.63","398.63","398.63","298.98","298.98","298.98","0","0","2018-07-01"
"Company Plan Starter","Vhi","675.89","615.08","547.5","479.9","412.31","344.72","256.85","256.85","256.85","196.02","196.02","196.02","0","0","2018-07-01"
"Corporate Plan","Vhi","1249.92","1119.47","974.49","829.48","707.6","591.61","421.97","421.97","421.97","313.18","313.18","313.18","0","0","2018-07-01"
"Family Plan Level 1","Vhi","984.31","877.76","767.47","672.73","577.97","483.23","357.92","357.92","357.92","284.23","284.23","284.23","0","0","2018-07-01"
"Family Plan Plus Level 1","Vhi","1507.88","1354.21","1183.44","1012.64","841.86","696.86","498.49","498.49","498.49","475.29","475.29","475.29","0","0","2018-07-01"
"First Plan Level 1","Vhi","959.42","855.14","751.36","658.58","565.84","473.1","346.07","346.07","346.07","278.26","278.26","278.26","0","0","2018-07-01"
"First Plan Plus Level 1","Vhi","1486.54","1334.79","1166.13","997.48","828.84","688.14","498.29","498.29","498.29","472.01","472.01","472.01","0","0","2018-07-01"
"Forward Plan Level 1","Vhi","3044.18","2752.24","2427.83","2103.41","1779.01","1454.57","917.73","917.73","917.73","883.45","883.45","883.45","0","0","2018-07-01"
"Health Access","Vhi","1613.21","1450.07","1268.75","1087.42","906.1","739.82","516.49","516.49","516.49","362.64","362.64","362.64","0","0","2018-07-01"
"HealthPlus Access (Plan B)","Vhi","1932.91","1740.98","1527.71","1314.42","1101.13","887.84","595.88","595.88","595.88","403.93","403.93","403.93","0","0","2018-07-01"
"HealthPlus Choice (Plan C)","Vhi","2720.64","2457.82","2165.77","1873.71","1581.63","1289.56","708.88","708.88","708.88","675.75","675.75","675.75","0","0","2018-07-01"
"HealthPlus Excess (Plan B Excess)","Vhi","1734.4","1560.36","1366.92","1173.47","980.05","789.27","557.69","557.69","557.69","386.88","386.88","386.88","0","0","2018-07-01"
"HealthPlus Extra (Plan B Options)","Vhi","2315.75","2089.38","1837.8","1586.23","1334.66","1083.07","670.35","670.35","670.35","443.93","443.93","443.93","0","0","2018-07-01"
"HealthPlus Platinum (Plan E)","Vhi","4597.16","4165.45","3685.75","3206.02","2726.3","2246.59","900.67","900.67","900.67","876.41","876.41","876.41","0","0","2018-07-01"
"HealthPlus Premium (Plan D)","Vhi","3174.86","2871.16","2533.68","2196.2","1858.7","1521.22","756.07","756.07","756.07","735.63","735.63","735.63","0","0","2018-07-01"
"Nurses Plan","Vhi","1568.04","1408.96","1232.15","1055.36","878.54","721.4","521.93","521.93","521.93","370.24","370.24","370.24","0","0","2018-07-01"
"Nurses Plan Select","Vhi","1276.79","1143.92","996.24","848.57","720.7","602.55","417.3","417.3","417.3","158.38","158.38","158.38","0","0","2018-07-01"
"One + Plan","Vhi","1118.56","999.94","868.06","748.98","643.49","538.01","373.16","373.16","373.16","139.49","139.49","139.49","0","0","2018-07-01"
"One Plan","Vhi","1081.83","966.51","838.33","728.12","625.57","523.02","379.3","379.3","379.3","144.12","144.12","144.12","0","0","2018-07-01"
"One Plan 150","Vhi","927.08","825.69","730.38","640.22","550.05","459.88","323.94","323.94","323.94","122.67","122.67","122.67","0","0","2018-07-01"
"One Plan 250","Vhi","832.41","751.62","669.04","586.44","503.85","421.26","312.65","312.65","312.65","119.97","119.97","119.97","0","0","2018-07-01"
"One Plan 500","Vhi","715.62","651.24","579.69","508.14","436.57","365.01","264.78","264.78","264.78","100.93","100.93","100.93","0","0","2018-07-01"
"One Plan Access (Plan A)","Vhi","796.59","724.93","645.27","565.62","485.94","406.29","296.22","296.22","296.22","118.46","118.46","118.46","0","0","2018-07-01"
"One Plan Access Plus (Plan A Option)","Vhi","815.03","738.98","657.78","576.58","495.37","414.18","300.82","300.82","300.82","121.47","121.47","121.47","0","0","2018-07-01"
"One Plan Complete","Vhi","1561.06","1402.60","1226.49","1050.39","874.28","718.55","443.79","443.79","443.79","157.85","157.85","157.85","0","0","2018-07-01"
"One Plan Extra","Vhi","1439.85","1292.31","1128.32","964.34","800.37","669.1","429.67","429.67","429.67","155.61","155.61","155.61","0","0","2018-07-01"
"One Plan Family","Vhi","1129.61","1009.98","877.02","755.25","648.87","542.51","387.38","387.38","387.38","146.22","146.22","146.22","0","0","2018-07-01"
"One Plan Sport","Vhi","1114.21","995.97","864.55","746.5","641.36","536.24","557.1","557.1","557.1","262.84","262.84","262.84","0","0","2018-07-01"
"One Plan Starter","Vhi","504.29","458.94","408.51","358.09","307.65","257.22","196.68","196.68","196.68","76.57","76.57","76.57","0","0","2018-07-01"
"One Plan Starter Day 2 Day","Vhi","593.89","540.48","481.09","421.7","362.31","302.92","243.5","243.5","243.5","96.94","96.94","96.94","0","0","2018-07-01"
"Parents and Kids Excess Plan","Vhi","1435.59","1288.42","1124.88","961.32","798.2","667.35","425.15","425.15","425.15","305.54","305.54","305.54","0","0","2018-07-01"
"Parents and Kids Options Plan","Vhi","1714.56","1542.29","1350.84","1159.39","967.92","781.17","469.57","469.57","469.57","317.81","317.81","317.81","0","0","2018-07-01"
